SLS
TSP
4536.69864197 , 4193.34624595
9023.51580647 , 8979.98972588
4677.40509801 , 4254.80082599
8950.09322558 , 8881.54707712
4941.78128529 , 4725.32274743
8928.48381086 , 8899.76177448
4700.33442162 , 4543.80042981
8947.11774132 , 8905.3927138
4822.96891711 , 4612.72019856
9038.12332574 , 9001.20798627
27623.4480756 , 27053.8912052
85404.1439725 , 85315.5751249
26669.0164797 , 26375.7742207
85348.210605 , 85252.440217
26692.2304999 , 26358.7205938
85453.7018235 , 85372.4422947
27188.1098113 , 26747.9960132
85266.509491 , 85166.5633302
28189.6260023 , 27885.289641
85551.0930192 , 85484.1450831
8047.08581181 , 7820.45880617
17650.5374106 , 17620.9534406
9064.6679704 , 8766.26912599
17662.7564272 , 17615.5635732
7402.07797223 , 7215.83117345
17810.3800019 , 17744.7260242
8109.26864782 , 7867.63849286
17657.1260483 , 17601.9443181
8181.66461363 , 7809.19485378
17683.1021718 , 17611.9734956
1643.14166215 , 1491.73524412
2308.2196833 , 2291.70662203
1501.96448642 , 1409.78858377
2311.73514013 , 2299.52291437
1443.94260212 , 1388.62081233
2313.29467978 , 2275.70853385
1612.01309114 , 1424.86632154
2474.17493872 , 2460.16185756
1619.29241156 , 1558.73469536
2367.78711015 , 2319.06843081
11428.6200822 , 11135.6646987
26264.2321049 , 26188.6190958
11045.7350291 , 10747.86118
26290.3629258 , 26208.7931686
11256.5894013 , 10933.8266209
26286.8974748 , 26249.3213432
11641.051064 , 11430.8874829
26072.9251182 , 26015.4218459
11342.5846881 , 11141.089211
26294.9858269 , 26214.9610774
13946.2890552 , 13504.4477576
34853.6065184 , 34777.4335414
13469.4947306 , 13172.4781092
34872.2461706 , 34797.2682449
13927.8578459 , 13695.4957488
34762.2154741 , 34710.3239505
13685.5969642 , 13149.1110377
34687.7150371 , 34636.5414659
14226.9003165 , 13896.4617137
34559.2575424 , 34491.993323
2538.40719088 , 2463.45086412
4561.9337855 , 4529.13488487
3194.15756753 , 3121.92510582
4517.00259728 , 4473.45724813
2658.62087806 , 1990.66938306
4679.24459899 , 4642.2122182
2693.91504903 , 2545.82698621
4586.74589473 , 4553.94893821
2943.27514696 , 2774.19224801
4564.54487274 , 4542.80315917
18576.119261 , 18264.0180773
51819.8166753 , 51727.700642
18402.1139527 , 18149.5338017
51694.4471116 , 51601.2124911
22308.6113517 , 22010.8768918
51304.8094096 , 51116.4550144
18780.0854794 , 18305.2149864
51671.239239 , 51607.2344919
18670.9989573 , 18504.1956428
51611.6640405 , 51553.0230267
3948.78191257 , 3765.14516166
6790.58960723 , 6754.28419816
3980.6779212 , 3716.38582365
6772.52325799 , 6742.60452054
3727.42390862 , 3682.99164792
6791.22156583 , 6738.35710024
4179.88626782 , 4046.26569477
6923.52451609 , 6894.7841164
3685.11124162 , 3441.04160281
6787.16478697 , 6723.44074718
22960.5141823 , 22511.9573636
68618.3244107 , 68522.5032194
23298.5821449 , 23003.4220804
68556.7891951 , 68477.9697946
23165.9967538 , 22890.9862064
68729.4346021 , 68633.5400256
20569.9392305 , 20100.0903004
68518.062293 , 68389.3068481
23008.4138519 , 22800.5572692
68594.2221627 , 68531.36552
